EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R114593R,COMFORTDELGRO ENGIE PTE. LTD.,1,R114593R-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,502,Yes,103.8677199,1.35261889
R114594D,COMFORTDELGRO ENGIE PTE. LTD.,1,R114594D-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,502A,Yes,103.8677199,1.35261889
R114596A,COMFORTDELGRO ENGIE PTE. LTD.,1,R114596A-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,503,Yes,103.8677199,1.35261889
R114597E,COMFORTDELGRO ENGIE PTE. LTD.,1,R114597E-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,504,Yes,103.8677199,1.35261889
R114599B,COMFORTDELGRO ENGIE PTE. LTD.,1,R114599B-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,504,Yes,103.8677199,1.35261889
R114600E,COMFORTDELGRO ENGIE PTE. LTD.,1,R114600E-001,Type 2,7,550305,305,SERANGOON AVENUE 2,CHUAN VILLAGE,L1,505A,Yes,103.8677199,1.35261889
R114601K,COMFORTDELGRO ENGIE PTE. LTD.,1,R114601K-001,Type 2,7,640527,527,JURONG WEST STREET 52,,L1,53,Yes,103.7164981,1.347576621
R114602B,COMFORTDELGRO ENGIE PTE. LTD.,1,R114602B-001,Type 2,7,640527,527,JURONG WEST STREET 52,,L1,54,Yes,103.7164981,1.347576621
R114603F,COMFORTDELGRO ENGIE PTE. LTD.,1,R114603F-001,Type 2,7,640527,527,JURONG WEST STREET 52,,L1,55,Yes,103.7164981,1.347576621
R115553H,COMFORTDELGRO ENGIE PTE. LTD.,1,R115553H-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,391,Yes,103.6941744,1.346227648
R115554A,COMFORTDELGRO ENGIE PTE. LTD.,1,R115554A-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,390,Yes,103.6941744,1.346227648
R115555E,COMFORTDELGRO ENGIE PTE. LTD.,1,R115555E-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,389,Yes,103.6941744,1.346227648
R115773H,COMFORTDELGRO ENGIE PTE. LTD.,1,R115773H-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,388,Yes,103.6941744,1.346227648
R115774A,COMFORTDELGRO ENGIE PTE. LTD.,1,R115774A-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,387,Yes,103.6941744,1.346227648
R115775E,COMFORTDELGRO ENGIE PTE. LTD.,1,R115775E-001,Type 2,7,640815,815,JURONG WEST STREET 81,,L1,386,Yes,103.6941744,1.346227648
R115776K,COMFORTDELGRO ENGIE PTE. LTD.,2,R115776K-001,CCS2,100,540118,118,RIVERVALE DRIVE,ATM DBS NTUC RIVERVALE PLAZA,L3B,27 & 28,Yes,103.9019884,1.385504208
R115776K,COMFORTDELGRO ENGIE PTE. LTD.,2,R115776K-002,CCS2,100,540118,118,RIVERVALE DRIVE,,L3B,27 & 28,Yes,103.9019884,1.385504208
R115785R,COMFORTDELGRO ENGIE PTE. LTD.,1,R115785R-001,Type 2,7,560603,603,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,L1,41,Yes,103.8356606,1.380544931
R115787H,COMFORTDELGRO ENGIE PTE. LTD.,1,R115787H-001,Type 2,7,560603,603,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,L1,42,Yes,103.8356606,1.380544931
R115791A,COMFORTDELGRO ENGIE PTE. LTD.,1,R115791A-001,Type 2,7,560603,603,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,L1,43,Yes,103.8356606,1.380544931
R115792E,COMFORTDELGRO ENGIE PTE. LTD.,1,R115792E-001,Type 2,7,760345,345,YISHUN AVENUE 11,,L1,150,Yes,103.8431591,1.427128447
R115793K,COMFORTDELGRO ENGIE PTE. LTD.,1,R115793K-001,Type 2,7,760345,345,YISHUN AVENUE 11,,L1,151,Yes,103.8431591,1.427128447
R115794B,COMFORTDELGRO ENGIE PTE. LTD.,1,R115794B-001,Type 2,7,760345,345,YISHUN AVENUE 11,,L1,152,Yes,103.8431591,1.427128447
R115825B,COMFORTDELGRO ENGIE PTE. LTD.,1,R115825B-001,Type 2,7,560624,624,ANG MO KIO AVENUE 4,,L1,35,Yes,103.8398542,1.381897619
R115826F,COMFORTDELGRO ENGIE PTE. LTD.,1,R115826F-001,Type 2,7,560624,624,ANG MO KIO AVENUE 4,,L1,34,Yes,103.8398542,1.381897619
R115827Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R115827Z-001,Type 2,7,560624,624,ANG MO KIO AVENUE 4,,L1,33,Yes,103.8398542,1.381897619
R116092B,COMFORTDELGRO ENGIE PTE. LTD.,1,R116092B-001,Type 2,7,650141,141,BUKIT BATOK STREET 11,,L1,17,Yes,103.74322,1.350653565
R116093F,COMFORTDELGRO ENGIE PTE. LTD.,1,R116093F-001,Type 2,7,650141,141,BUKIT BATOK STREET 11,,L1,18,Yes,103.74322,1.350653565
R116094Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R116094Z-001,Type 2,7,650141,141,BUKIT BATOK STREET 11,,L1,19,Yes,103.74322,1.350653565
R116171B,COMFORTDELGRO ENGIE PTE. LTD.,2,R116171B-001,CCS2,100,510258,258,PASIR RIS STREET 21,LOYANG POINT,L3,45 & 46,Yes,103.9646356,1.367066342
R116171B,COMFORTDELGRO ENGIE PTE. LTD.,2,R116171B-002,CCS2,100,510258,258,PASIR RIS STREET 21,,L3,45 & 46,Yes,103.9646356,1.367066342
R116263K,COMFORTDELGRO ENGIE PTE. LTD.,1,R116263K-001,Type 2,7,760607,607,YISHUN STREET 61,NEE SOON CENTRAL MEADOWS,L1,976,Yes,103.8356042,1.421386044
R116264B,COMFORTDELGRO ENGIE PTE. LTD.,1,R116264B-001,Type 2,7,760607,607,YISHUN STREET 61,NEE SOON CENTRAL MEADOWS,L1,977,Yes,103.8356042,1.421386044
R116265F,COMFORTDELGRO ENGIE PTE. LTD.,1,R116265F-001,Type 2,7,760607,607,YISHUN STREET 61,NEE SOON CENTRAL MEADOWS,L1,978,Yes,103.8356042,1.421386044
R116266Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R116266Z-001,Type 2,7,760607,607,YISHUN STREET 61,NEE SOON CENTRAL MEADOWS,L1,979,Yes,103.8356042,1.421386044
R116267C,COMFORTDELGRO ENGIE PTE. LTD.,1,R116267C-001,Type 2,7,760607,607,YISHUN STREET 61,NEE SOON CENTRAL MEADOWS,L1,980,Yes,103.8356042,1.421386044
